customer_id,gender,age,country,signup_date,last_purchase_date,recency_days,frequency,monetary_value,preferred_category,acquisition_channel,email_open_rate,churn_risk_score
CUST_10026,M,53.0,Nigeria,2023-06-11,2023-08-08,632,5.0,24.4,Haircare,Organic Search,0.18,1.0
CUST_10027,Male,28.0,Nigeria,2023-09-10,2025-04-24,7,6.0,339.54,Wellness,Referral,0.24,0.16
CUST_10028,,47.0,Kenya,2023-07-29,2024-06-14,321,5.0,139.34,Bodycare,Organic Search,0.33,1.0
CUST_10029,Female,52.0,Nigeria,2023-04-13,2023-06-27,674,6.0,110.06,Haircare,Organic Search,0.29,1.0
CUST_10030,Male,36.0,UK,2024-03-24,2024-12-27,125,2.0,124.76,makeup,Referral,0.18,0.4
CUST_10031,F,17.0,USA,2023-05-18,2024-02-12,444,5.0,252.14,Makeup,Social Media,0.49,1.0
CUST_10032,,25.0,Kenya,2023-07-28,2024-04-23,373,1.0,192.63,Skincare,Email,0.22,1.0
CUST_10033,F,,Kenya,2023-05-14,2025-02-24,66,2.0,210.99,Wellness,Email,0.36,0.39
CUST_10034,,,USA,2024-12-08,2025-01-15,106,4.0,388.46,Makeup,Email,0.67,0.28
CUST_10035,Male,,Kenya,2023-02-10,2024-02-11,445,5.0,386.33,Skincare,Referral,0.3,1.0
CUST_10036,M,31.0,UK,2023-08-31,2024-02-13,443,8.0,159.39,wellness,Social Media,0.25,1.0
CUST_10037,M,35.0,UK,2023-10-01,2024-03-12,415,4.0,219.22,Skincare,Paid Ads,0.54,1.0
CUST_10038,Male,34.0,Canada,2023-12-25,2024-05-29,337,7.0,714.4,haircare,Paid Ads,0.24,1.0
CUST_10039,M,16.0,USA,2023-10-13,2024-10-06,207,6.0,393.85,Makeup,Organic Search,0.31,0.85
CUST_10040,Female,35.0,Kenya,2023-07-02,2025-02-15,75,4.0,194.98,Skincare,Social Media,0.43,0.4
CUST_10041,F,41.0,Nigeria,2023-04-29,2024-05-27,339,3.0,128.59,Skincare,Organic Search,0.16,1.0
CUST_10042,,32.0,Nigeria,2024-12-04,2025-01-23,98,3.0,13.84,Bodycare,Organic Search,0.27,0.42
CUST_10043,F,26.0,Canada,2023-12-01,2025-01-16,105,5.0,303.28,Haircare,Email,0.32,0.39
CUST_10044,Male,23.0,Kenya,2024-02-20,2024-11-26,156,1.0,90.05,Haircare,Referral,0.26,0.8
CUST_10045,,40.0,Canada,2024-03-28,2024-11-09,173,4.0,139.22,Haircare,Social Media,0.36,0.54
CUST_10046,,18.0,Nigeria,2023-12-10,2024-01-26,461,1.0,300.51,Bodycare,Paid Ads,0.24,1.0
CUST_10047,Male,,UK,2024-05-01,2025-03-09,53,6.0,288.07,Wellness,Referral,0.27,0.4
CUST_10048,Male,26.0,Canada,2024-05-21,2024-12-11,141,3.0,81.46,Skincare,Organic Search,0.58,0.52
CUST_10049,M,32.0,Nigeria,2024-04-20,2024-05-15,351,2.0,120.49,Skincare,Email,0.47,1.0
CUST_10050,,37.0,Nigeria,2023-11-21,2025-02-16,74,5.0,170.16,Makeup,Referral,0.21,0.34
CUST_10051,M,37.0,Canada,2024-04-05,2024-08-15,259,3.0,261.26,Bodycare,Referral,0.14,1.0
CUST_10052,M,23.0,Kenya,2024-03-26,2024-05-04,362,6.0,47.26,Bodycare,Referral,0.37,1.0
CUST_10053,Female,27.0,UK,2024-01-28,2025-01-17,104,3.0,269.31,Wellness,Referral,0.3,0.46
CUST_10054,M,22.0,UK,2024-03-06,2024-09-21,222,4.0,500.7,Skincare,Referral,0.55,0.76
CUST_10055,M,16.0,Kenya,2023-11-02,2024-12-05,147,5.0,532.82,Wellness,Referral,0.46,0.63
CUST_10056,,20.0,Canada,2023-08-13,2024-05-18,348,6.0,208.76,Bodycare,Email,0.45,1.0
CUST_10057,Male,40.0,UK,2024-09-29,2025-02-12,78,,12.88,Makeup,Organic Search,0.25,0.39
CUST_10058,M,38.0,Canada,2023-07-06,2023-08-26,614,2.0,80.18,Wellness,Email,0.44,1.0
CUST_10059,F,57.0,Canada,2023-09-16,2023-12-08,510,2.0,209.32,Skincare,Social Media,0.22,1.0
CUST_10060,Male,33.0,USA,2023-02-01,2023-10-12,567,5.0,151.47,Haircare,Email,0.35,1.0
CUST_10061,Female,28.0,UK,2024-04-21,2025-04-14,17,3.0,189.41,Makeup,Organic Search,0.51,0.19
CUST_10062,Male,36.0,USA,2024-08-15,2024-08-28,246,2.0,354.43,Wellness,Paid Ads,0.07,0.77
CUST_10063,Female,37.0,UK,2023-04-15,2025-03-28,34,0.0,155.78,Makeup,Referral,0.46,0.24
CUST_10064,Female,42.0,Canada,2024-11-08,2025-02-10,80,3.0,59.99,Skincare,Email,0.5,0.41
CUST_10065,Female,41.0,Kenya,2024-10-12,2025-02-06,84,2.0,195.24,Makeup,Social Media,0.5,0.3
CUST_10066,,33.0,Nigeria,2024-05-10,2025-01-03,118,1.0,38.87,Bodycare,Paid Ads,0.4,0.58
CUST_10067,Female,34.0,Canada,2023-09-07,2024-12-25,127,5.0,394.13,bodycare,Social Media,0.2,0.4
CUST_10068,Male,24.0,Kenya,2023-09-22,2024-09-04,239,5.0,215.13,Bodycare,Referral,0.24,0.7
CUST_10069,Male,57.0,Canada,2024-05-15,2025-02-23,67,3.0,185.48,Wellness,Organic Search,0.56,0.43
CUST_10070,Female,37.0,Canada,2024-12-09,2025-02-09,81,4.0,188.69,Wellness,Social Media,0.32,0.48
CUST_10071,M,44.0,Nigeria,2023-12-05,2024-11-29,153,6.0,413.81,Bodycare,Paid Ads,0.37,0.66
CUST_10072,F,29.0,Nigeria,2024-12-07,2025-01-23,98,7.0,51.74,Bodycare,Referral,0.47,0.6
CUST_10073,,30.0,USA,2023-07-18,2024-05-16,350,6.0,139.32,Skincare,Paid Ads,0.19,1.0
CUST_10074,F,,USA,2024-07-20,2024-12-16,136,8.0,156.98,Wellness,Organic Search,0.34,0.45
CUST_10075,,41.0,Canada,2024-03-27,2024-09-17,226,5.0,168.65,Wellness,Organic Search,0.29,0.77
CUST_10076,M,26.0,Nigeria,2024-10-06,2025-03-30,32,3.0,147.55,Makeup,Organic Search,0.09,0.25
CUST_10077,Male,34.0,Canada,2024-09-12,2025-02-11,79,4.0,45.09,Makeup,Email,0.28,0.4
CUST_10078,F,24.0,Canada,2023-11-09,2024-01-09,478,4.0,328.09,Haircare,Social Media,0.58,1.0
CUST_10079,Female,27.0,UK,2024-07-19,2024-08-26,248,10.0,409.29,Makeup,Organic Search,0.4,0.86
CUST_10080,Male,33.0,Kenya,2024-12-20,2025-04-15,16,5.0,231.09,Bodycare,Referral,0.22,0.46
CUST_10081,Male,34.0,Nigeria,2023-08-19,2024-01-18,469,5.0,144.04,Skincare,Social Media,0.18,1.0
CUST_10082,,24.0,Nigeria,2023-10-23,2025-01-14,107,2.0,262.43,Wellness,Referral,0.2,0.29
CUST_10083,,26.0,USA,2024-09-04,2024-09-14,229,4.0,655.9,Makeup,Organic Search,0.09,0.7
CUST_10084,Male,40.0,Nigeria,2024-08-24,2025-04-24,7,,110.82,Bodycare,Paid Ads,0.2,0.09
CUST_10085,M,46.0,Canada,2023-10-12,2024-04-14,382,9.0,232.02,Wellness,Email,0.45,1.0
CUST_10086,F,24.0,Kenya,2024-11-17,2024-12-13,139,4.0,197.79,Wellness,Email,0.3,0.68
CUST_10087,,,USA,2023-11-19,2024-08-03,271,3.0,161.92,Wellness,Organic Search,0.09,0.94
CUST_10088,,29.0,USA,2023-07-12,2024-12-23,129,2.0,204.19,Wellness,Paid Ads,0.14,0.5
CUST_10089,F,37.0,Kenya,2024-03-24,2025-03-16,46,1.0,504.55,Makeup,Paid Ads,0.4,0.26
CUST_10090,F,35.0,Nigeria,2024-02-22,2024-04-09,387,3.0,325.23,Skincare,Organic Search,0.44,1.0
CUST_10091,Male,33.0,Kenya,2024-06-05,2024-10-22,191,1.0,115.1,Wellness,Referral,0.16,0.67
CUST_10092,Male,61.0,Nigeria,2024-06-04,2024-08-12,262,6.0,185.4,Wellness,Referral,0.44,0.73
CUST_10093,F,22.0,Kenya,2023-11-02,2025-03-17,45,2.0,236.83,Wellness,Referral,0.32,0.32
CUST_10094,,16.0,Kenya,2023-07-13,2024-03-13,414,6.0,123.74,wellness,Email,0.34,1.0
CUST_10095,M,42.0,UK,2024-05-22,2024-06-09,326,3.0,263.77,Bodycare,Email,0.17,1.0
CUST_10096,Female,31.0,Canada,2023-01-16,2025-01-24,97,1.0,283.38,Haircare,Social Media,0.25,0.33
CUST_10097,F,28.0,Canada,2024-10-27,2024-11-16,166,2.0,150.63,Makeup,Social Media,0.28,0.63
CUST_10098,M,30.0,USA,2024-09-24,2024-10-11,202,1.0,335.23,Bodycare,Organic Search,0.21,0.75
CUST_10099,M,26.0,USA,2024-03-30,2024-06-23,312,3.0,201.44,Skincare,Organic Search,0.37,1.0
CUST_10100,F,30.0,Canada,2023-05-30,2024-02-04,452,1.0,425.49,Haircare,Organic Search,0.16,1.0
CUST_10101,,37.0,Nigeria,2024-11-30,2025-01-30,91,7.0,88.91,Haircare,Social Media,0.31,0.61
CUST_10102,M,20.0,USA,2024-04-21,2024-09-15,228,3.0,190.23,Wellness,Referral,0.19,0.87
CUST_10103,F,16.0,Canada,2024-12-07,2025-02-09,81,6.0,87.42,Wellness,Organic Search,0.21,0.27
CUST_10104,Male,28.0,Kenya,2024-08-11,2025-01-09,112,2.0,577.47,Wellness,Referral,0.32,0.47
CUST_10105,Female,27.0,Canada,2023-10-21,2024-06-12,323,4.0,196.93,Haircare,Paid Ads,0.31,1.0
CUST_10106,Female,35.0,USA,2023-11-13,2025-02-06,84,4.0,35.67,Haircare,Social Media,0.23,0.57
CUST_10107,F,47.0,UK,2023-07-25,2023-12-07,511,2.0,345.26,Bodycare,Social Media,0.11,1.0
CUST_10108,Male,22.0,Canada,2023-10-30,2024-10-10,203,5.0,282.39,Skincare,Paid Ads,0.31,0.8
CUST_10109,M,17.0,Nigeria,2024-01-10,2024-02-25,431,5.0,3059.6,Makeup,Social Media,0.63,1.0
CUST_10110,F,19.0,Kenya,2023-04-21,2025-03-12,50,4.0,206.86,Makeup,Referral,0.29,0.2
CUST_10111,Male,35.0,Canada,2024-12-18,2025-03-05,57,3.0,199.68,Skincare,Social Media,0.22,0.3
CUST_10112,M,21.0,UK,2024-07-04,2024-09-11,232,2.0,103.95,Makeup,Paid Ads,0.19,0.85
CUST_10113,M,16.0,Canada,2024-09-22,2025-01-04,117,7.0,263.73,Bodycare,Email,0.1,0.68
CUST_10114,Male,28.0,USA,2024-12-03,2025-03-07,55,5.0,211.52,Bodycare,Social Media,0.47,0.37
CUST_10115,Male,33.0,Canada,2023-04-04,2025-02-10,80,3.0,177.3,Skincare,Social Media,0.18,0.33
CUST_10116,Male,16.0,Nigeria,2023-07-30,2023-10-08,571,7.0,139.46,Makeup,Paid Ads,0.38,1.0
CUST_10117,F,30.0,Nigeria,2023-01-03,2023-10-13,566,6.0,104.28,Haircare,Paid Ads,0.2,1.0
CUST_10118,Female,18.0,USA,2023-05-15,2023-05-30,702,3.0,208.91,Makeup,Paid Ads,0.34,1.0
CUST_10119,F,34.0,Canada,2024-06-22,2024-08-19,255,3.0,100.56,Bodycare,Organic Search,0.22,0.86
CUST_10120,M,26.0,Nigeria,2023-02-14,2025-02-27,63,2.0,142.85,Makeup,Organic Search,0.34,0.22
CUST_10121,Female,41.0,Canada,2024-03-12,2025-02-26,64,3.0,180.74,Wellness,Organic Search,0.3,0.34
CUST_10122,F,26.0,USA,2023-05-10,2024-02-15,441,1.0,217.34,Bodycare,Referral,0.17,1.0
CUST_10123,,43.0,Nigeria,2024-09-11,2024-12-30,122,2.0,176.43,Makeup,Paid Ads,0.13,0.68
CUST_10124,M,29.0,UK,2024-02-28,2024-08-19,255,6.0,186.62,Skincare,Social Media,0.37,0.98
CUST_10125,F,32.0,UK,2024-12-04,2025-04-04,27,4.0,104.51,Skincare,Social Media,0.2,0.14
CUST_10126,Male,22.0,Nigeria,2024-07-29,2025-01-13,108,4.0,247.04,Wellness,Organic Search,0.13,0.63
CUST_10127,F,28.0,Kenya,2023-04-17,2024-11-28,154,4.0,163.6,Wellness,Organic Search,0.12,0.77
CUST_10128,F,37.0,Kenya,2023-04-28,2024-02-07,449,5.0,77.88,Makeup,Referral,0.05,1.0
CUST_10129,,18.0,Nigeria,2023-01-27,2024-10-11,202,10.0,377.4,bodycare,Social Media,0.31,0.74
CUST_10130,F,31.0,Kenya,2023-01-07,2023-07-11,660,7.0,26.47,Wellness,Organic Search,0.25,1.0
CUST_10131,Female,30.0,UK,2024-01-21,2024-08-22,252,0.0,63.97,Bodycare,Referral,0.32,1.0
CUST_10132,,35.0,USA,2023-06-09,2023-11-17,531,4.0,48.98,Skincare,Email,0.16,1.0
CUST_10133,M,34.0,Canada,2023-10-07,2024-05-14,352,3.0,382.06,Wellness,Referral,0.51,1.0
CUST_10134,M,29.0,Kenya,2023-02-16,2023-09-29,580,3.0,573.99,Skincare,Paid Ads,0.41,1.0
CUST_10135,Male,30.0,Kenya,2023-12-02,2024-04-02,394,,137.68,Haircare,Referral,0.15,1.0
CUST_10136,Male,37.0,Kenya,2023-03-15,2024-04-24,372,4.0,147.7,Skincare,Organic Search,0.49,1.0
CUST_10137,F,26.0,Nigeria,2024-02-19,2025-02-16,74,4.0,344.9,wellness,Social Media,0.18,0.29
CUST_10138,Male,31.0,Nigeria,2024-04-16,2025-04-04,27,3.0,374.38,Skincare,Referral,0.34,0.22
CUST_10139,M,30.0,Canada,2023-11-14,2024-10-26,187,3.0,170.08,Skincare,Organic Search,0.13,0.66
CUST_10140,,31.0,Kenya,2023-12-26,2025-01-01,120,2.0,10.47,Haircare,Paid Ads,0.39,0.58
CUST_10141,F,30.0,Nigeria,2023-06-06,2025-04-07,24,5.0,120.26,Wellness,Referral,0.34,0.19
CUST_10142,,23.0,Nigeria,2024-10-20,2025-03-31,31,5.0,228.6,Bodycare,Organic Search,0.31,0.0
CUST_10143,M,27.0,Kenya,2023-10-09,2023-12-05,513,3.0,700.95,Wellness,Organic Search,0.15,1.0
CUST_10144,F,24.0,USA,2024-10-22,2024-11-14,168,4.0,149.19,Wellness,Organic Search,0.35,0.59
CUST_10145,M,30.0,Nigeria,2024-10-29,2024-12-16,136,4.0,218.07,Haircare,Email,0.04,0.68
CUST_10146,Female,39.0,Kenya,2023-03-28,2024-08-25,249,4.0,171.73,Wellness,Referral,0.19,0.83
CUST_10147,,26.0,Kenya,2024-01-17,2025-04-30,1,5.0,231.16,Bodycare,Organic Search,0.28,0.2
CUST_10148,F,21.0,USA,2024-07-25,2025-02-07,83,3.0,273.96,Makeup,Social Media,0.5,0.35
CUST_10149,Female,37.0,UK,2023-12-25,2024-05-31,335,7.0,186.21,Wellness,Organic Search,0.02,1.0
CUST_10150,F,29.0,Kenya,2023-05-11,2025-03-27,35,3.0,148.38,Makeup,Email,0.05,0.3
CUST_10151,,33.0,Kenya,2023-11-13,2024-05-15,351,4.0,247.18,Wellness,Paid Ads,0.17,1.0
CUST_10152,Male,16.0,USA,2024-06-03,2025-03-06,56,1.0,220.14,Skincare,Referral,0.32,0.42
CUST_10153,Male,43.0,UK,2023-06-16,2023-12-18,500,4.0,35.09,Haircare,Organic Search,0.02,1.0
CUST_10154,M,26.0,UK,2024-03-30,2025-02-05,85,8.0,186.3,Wellness,Paid Ads,0.09,0.47
CUST_10155,F,50.0,Canada,2023-07-18,2024-07-28,277,2.0,27.04,Wellness,Social Media,0.15,0.87
CUST_10156,M,41.0,Canada,2023-06-15,2024-01-05,482,2.0,599.29,Bodycare,Email,0.19,1.0
CUST_10157,F,34.0,USA,2024-12-29,2025-04-16,15,6.0,30.22,Skincare,Social Media,0.12,0.26
CUST_10158,M,48.0,UK,2024-03-23,2024-05-08,358,4.0,480.69,Wellness,Organic Search,0.23,1.0
CUST_10159,M,30.0,Nigeria,2024-01-18,2024-05-17,349,2.0,172.78,haircare,Organic Search,0.49,1.0
CUST_10160,F,25.0,UK,2023-02-09,2023-11-29,519,1.0,419.44,Haircare,Email,0.16,1.0
CUST_10161,M,34.0,USA,2023-01-20,2023-10-09,570,3.0,104.66,Makeup,Organic Search,0.26,1.0
CUST_10162,F,30.0,USA,2023-02-18,2023-10-20,559,6.0,134.11,Wellness,Email,0.17,1.0
CUST_10163,,23.0,Nigeria,2024-08-11,2024-12-12,140,3.0,15.86,Skincare,Paid Ads,0.29,0.47
CUST_10164,,46.0,USA,2024-06-20,2024-12-21,131,1.0,331.0,Makeup,Referral,0.36,0.6
CUST_10165,,,Canada,2023-02-14,2024-11-25,157,1.0,105.38,Skincare,Organic Search,0.47,0.65
CUST_10166,F,21.0,USA,2024-08-18,2025-02-04,86,7.0,398.5,Bodycare,Paid Ads,0.15,0.46
CUST_10167,M,16.0,Canada,2024-10-08,2024-11-23,159,6.0,110.69,wellness,Paid Ads,0.16,0.49
CUST_10168,Female,44.0,USA,2023-11-20,2024-10-02,211,2.0,389.8,Makeup,Organic Search,0.51,0.81
CUST_10169,Male,31.0,USA,2024-11-02,2025-01-25,96,1.0,69.76,Wellness,Email,0.21,0.44
CUST_10170,M,47.0,UK,2024-05-23,2025-02-01,89,4.0,239.46,Bodycare,Email,0.6,0.3
CUST_10171,Female,20.0,UK,2024-07-12,2024-12-09,143,6.0,222.97,Bodycare,Referral,0.28,0.39
CUST_10172,M,39.0,Canada,2023-12-26,2024-08-10,264,4.0,248.71,Bodycare,Email,0.45,0.8
CUST_10173,F,58.0,USA,2023-03-18,2025-02-02,88,6.0,45.83,Haircare,Paid Ads,0.34,0.48
CUST_10174,,31.0,Canada,2023-02-05,2023-06-14,687,5.0,121.19,Bodycare,Referral,0.36,1.0
CUST_10175,Female,43.0,Canada,2024-01-15,2024-07-23,282,4.0,152.22,Haircare,Email,0.46,0.96
CUST_10176,F,42.0,UK,2023-04-27,2023-05-23,709,3.0,682.2,Wellness,Organic Search,0.26,1.0
CUST_10177,F,25.0,Canada,2023-08-08,2025-04-25,6,2.0,386.98,Wellness,Paid Ads,0.27,0.27
CUST_10178,Female,36.0,Canada,2023-03-31,2025-02-26,64,5.0,121.39,Bodycare,Referral,0.31,0.3
CUST_10179,,28.0,Kenya,2023-06-11,2025-03-25,37,5.0,200.19,Haircare,Paid Ads,0.29,0.23
CUST_10180,Male,40.0,Canada,2023-01-27,2024-01-31,456,5.0,117.43,Makeup,Organic Search,0.25,1.0
CUST_10181,Female,33.0,Canada,2024-06-22,2025-01-18,103,3.0,352.91,Skincare,Social Media,0.09,0.76
CUST_10182,Female,24.0,Nigeria,2023-12-19,2024-02-22,434,3.0,371.97,Makeup,Paid Ads,0.1,1.0
CUST_10183,M,33.0,USA,2023-05-08,2024-10-19,194,1.0,356.99,Bodycare,Paid Ads,0.25,0.65
CUST_10184,F,42.0,Nigeria,2023-10-18,2024-01-06,481,5.0,113.79,Makeup,Social Media,0.02,1.0
CUST_10185,,44.0,Nigeria,2024-10-18,2024-11-30,152,5.0,311.37,Haircare,Referral,0.45,0.68
CUST_10186,F,17.0,Nigeria,2023-02-12,2023-03-13,780,2.0,169.27,Makeup,Paid Ads,0.49,1.0
CUST_10187,,53.0,USA,2024-05-24,2025-04-10,21,5.0,469.57,Bodycare,Email,0.25,0.18
CUST_10188,F,28.0,USA,2023-06-11,2024-09-03,240,2.0,308.75,Bodycare,Social Media,0.44,0.83
CUST_10189,F,22.0,Kenya,2024-02-13,2024-04-19,377,4.0,295.47,Skincare,Email,0.18,1.0
CUST_10190,Female,36.0,UK,2023-05-25,2023-09-01,608,1.0,203.05,Makeup,Paid Ads,0.21,1.0
CUST_10191,F,24.0,Kenya,2023-07-14,2023-12-24,494,3.0,395.59,Wellness,Email,0.07,1.0
CUST_10192,Female,16.0,Canada,2024-06-01,2025-01-21,100,1.0,97.15,bodycare,Social Media,0.52,0.53
CUST_10193,M,32.0,Canada,2023-10-20,2025-04-21,10,,147.32,Haircare,Social Media,0.33,0.25
CUST_10194,M,19.0,Canada,2023-02-22,2024-09-27,216,4.0,557.63,Bodycare,Referral,0.26,0.68
CUST_10195,M,30.0,Kenya,2024-09-30,2025-03-23,39,5.0,360.75,Skincare,Social Media,0.22,0.3
CUST_10196,,17.0,UK,2023-07-23,2025-03-30,32,5.0,161.47,skincare,Social Media,0.24,0.22
CUST_10197,M,33.0,UK,2024-09-12,2025-04-28,3,10.0,629.98,Makeup,Email,0.33,0.26
CUST_10198,,31.0,Kenya,2024-08-30,2024-11-24,158,0.0,552.78,Wellness,Social Media,0.38,0.56
CUST_10199,M,21.0,Kenya,2023-12-06,2024-03-27,400,4.0,733.51,Skincare,Social Media,0.17,1.0
CUST_10200,,18.0,USA,2024-08-20,2024-12-20,132,7.0,40.25,Makeup,Email,0.08,0.56
CUST_10201,Male,22.0,UK,2023-02-02,2024-09-10,233,1.0,143.34,Skincare,Email,0.21,0.68
CUST_10202,Male,23.0,UK,2024-02-25,2024-11-07,175,8.0,388.12,Skincare,Referral,0.27,0.68
CUST_10203,Male,39.0,Canada,2024-06-22,2024-12-31,121,7.0,217.44,Makeup,Social Media,0.35,0.28
CUST_10204,F,21.0,UK,2023-09-10,2024-06-21,314,1.0,74.54,Bodycare,Paid Ads,0.36,0.95
CUST_10205,M,20.0,Kenya,2024-07-27,2024-12-14,138,8.0,608.44,Makeup,Email,0.51,0.63
CUST_10206,F,37.0,UK,2023-10-25,2023-12-07,511,1.0,216.76,Bodycare,Social Media,0.55,1.0
CUST_10207,M,63.0,Nigeria,2023-10-05,2024-07-09,296,10.0,127.93,Makeup,Organic Search,0.25,1.0
CUST_10208,,31.0,UK,2023-02-23,2023-06-05,696,4.0,322.52,Skincare,Paid Ads,0.09,1.0
CUST_10209,Female,32.0,UK,2024-02-21,2025-01-20,101,3.0,286.32,Wellness,Social Media,0.22,0.39
CUST_10210,F,35.0,USA,2023-04-02,2025-01-28,93,6.0,353.53,Skincare,Paid Ads,0.34,0.58
CUST_10211,M,16.0,UK,2023-02-07,2024-03-19,408,3.0,109.6,Bodycare,Organic Search,0.46,1.0
CUST_10212,F,33.0,USA,2023-12-10,2024-05-03,363,5.0,288.24,Makeup,Paid Ads,0.36,1.0
CUST_10213,,32.0,UK,2023-04-26,2024-03-29,398,5.0,72.75,Bodycare,Organic Search,0.15,1.0
CUST_10214,F,34.0,Nigeria,2024-11-21,2025-01-09,112,2.0,210.94,Wellness,Referral,0.2,0.38
CUST_10215,F,40.0,USA,2023-07-09,2023-11-29,519,0.0,446.78,Skincare,Paid Ads,0.35,1.0
CUST_10216,M,37.0,Kenya,2023-11-06,2023-11-17,531,5.0,257.54,Haircare,Organic Search,0.39,1.0
CUST_10217,M,36.0,Canada,2024-12-03,2025-04-10,21,3.0,93.75,Bodycare,Social Media,0.43,0.21
CUST_10218,F,49.0,UK,2023-05-17,2024-09-17,226,3.0,499.43,Makeup,Referral,0.27,0.75
CUST_10219,M,23.0,UK,2023-09-11,2023-12-03,515,1.0,597.49,Bodycare,Referral,0.19,1.0
CUST_10220,Female,32.0,Nigeria,2024-06-01,2024-09-12,231,5.0,338.53,Bodycare,Email,0.22,0.91
CUST_10221,Female,29.0,Nigeria,2024-05-15,2024-06-30,305,6.0,694.72,Skincare,Referral,0.19,1.0
CUST_10222,M,25.0,USA,2024-07-26,2025-03-19,43,4.0,200.63,Skincare,Organic Search,0.2,0.37
CUST_10223,Male,21.0,USA,2024-03-09,2024-09-01,242,4.0,74.59,Skincare,Organic Search,0.26,0.73
CUST_10224,M,,Canada,2023-07-04,2023-11-19,529,7.0,399.72,Wellness,Email,0.12,1.0
CUST_10225,M,36.0,Canada,2024-01-20,2024-03-01,426,6.0,78.52,Makeup,Social Media,0.36,1.0
CUST_10226,Female,24.0,Nigeria,2024-02-07,2024-11-03,179,2.0,61.52,Skincare,Social Media,0.11,0.79
CUST_10227,M,52.0,Nigeria,2024-03-10,2024-12-07,145,5.0,200.52,Wellness,Social Media,0.12,0.51
CUST_10228,Male,27.0,USA,2023-02-02,2024-12-09,143,4.0,5.78,Skincare,Organic Search,0.31,0.52
CUST_10229,Female,46.0,Canada,2024-09-04,2025-02-23,67,1.0,397.59,Skincare,Paid Ads,0.44,0.17
CUST_10230,,30.0,USA,2023-05-24,2024-10-20,193,6.0,459.48,Makeup,Referral,0.14,0.5
CUST_10231,F,33.0,UK,2024-11-07,2025-03-20,42,3.0,125.21,Skincare,Referral,0.04,0.25
CUST_10232,Male,30.0,Canada,2024-07-23,2025-04-02,29,5.0,318.86,Wellness,Social Media,0.09,0.35
